央视频道,#genre#
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8$黑龙江鸡西移动
东方卫视,http://39.134.66.2/PLTV/88888888/224/3221225672/index.m3u8$黑龙江鸡西移动
东方卫视,http://39.134.65.179/PLTV/88888888/224/3221225672/index.m3u8$黑龙江鸡西移动
东方卫视,http://39.134.65.164/PLTV/88888888/224/3221225672/index.m3u8$黑龙江鸡西移动
东方卫视,http://39.134.65.173/PLTV/88888888/224/3221225672/index.m3u8$黑龙江鸡西移动
东方卫视,http://39.134.65.175/PLTV/88888888/224/3221225672/index.m3u8$黑龙江鸡西移动




安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$黑龙江移动
安徽卫视,http://39.134.66.2/PLTV/88888888/224/3221225675/index.m3u8$黑龙江鸡西移动
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8$陕西移动
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8$陕西移动
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225773/index.m3u8$陕西移动



广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$黑龙江移动
广东卫视,http://221.2.36.34:8888/newlive/live/hls/21/live.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8$陕西移动
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8$陕西移动
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225757/index.m3u8$陕西移动



深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8$黑龙江移动
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8$黑龙江移动
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8$黑龙江鸡西移动
深圳卫视,http://39.134.66.2/PLTV/88888888/224/3221225668/index.m3u8$黑龙江鸡西移动
深圳卫视,http://39.134.65.164/PLTV/88888888/224/3221225668/index.m3u8$黑龙江鸡西移动
深圳卫视,http://39.134.65.166/PLTV/88888888/224/3221225668/index.m3u8$黑龙江鸡西移动
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225668/index.m3u8$黑龙江鸡西移动
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8$陕西移动
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8$陕西移动



辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8$黑龙江移动
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8$黑龙江移动
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8$黑龙江鸡西移动
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8$陕西移动
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8$陕西移动


海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8$黑龙江移动
海南卫视,http://39.134.66.2/PLTV/88888888/224/3221225530/index.m3u8$黑龙江鸡西移动
海南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8$陕西移动


山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8$黑龙江移动
山东卫视,http://39.134.66.2/PLTV/88888888/224/3221225680/index.m3u8$黑龙江鸡西移动
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225771/index.m3u8$陕西移动
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8$陕西移动
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8$陕西移动


天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8$黑龙江移动
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8$黑龙江移动
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8$黑龙江鸡西移动
天津卫视,http://39.134.66.2/PLTV/88888888/224/3221225665/index.m3u8$黑龙江鸡西移动
天津卫视,http://39.134.65.166/PLTV/88888888/224/3221225665/index.m3u8$黑龙江鸡西移动
天津卫视,http://39.134.65.162/PLTV/88888888/224/3221225665/index.m3u8$黑龙江鸡西移动
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8$陕西移动


重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$黑龙江移动
